be_trigger_mult	partial_frac	lock_atr_mult	result_line	diag3_line	reasons_line
0.9	0.25	0.0	2026-02-10 02:57:16.377 | INFO     | __main__:main:653 - RESULT | trades=59 wins=18 losses=41 winrate=30.51% pnl_total=-0.989892145805808243173862338 max_dd=1.039333840436392461550694433 pf=0.4173708061461817415582618455 avg_win=0.03939537142349274342862460861 avg_loss=0.04143923979094335670461232422 expectancy=-0.01677783297975946174870953115 avg_trade_bars=4.24 open_position=False	2026-02-10 02:57:16.376 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=1E-27 avg_pnl=1.428571428571428571428571429E-28 avg_bars=5.00 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722426428677624889105292 avg_pnl=-0.04893301254201993014379721447 avg_bars=3.71 | tp: n=17 pnl=0.709116685622869381715242953 avg_pnl=0.041712746213109963630308409 avg_bars=4.94	2026-02-10 02:57:16.377 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.25	0.1	2026-02-10 02:57:22.333 | INFO     | __main__:main:653 - RESULT | trades=59 wins=24 losses=35 winrate=40.68% pnl_total=-0.970235168909573836158642381 max_dd=1.026715365439656395901464689 pf=0.4289404793183365171322549901 avg_win=0.03036556927162932453043595462 avg_loss=0.04854310946939078928254586549 expectancy=-0.01644466387982328535862105731 avg_trade_bars=4.24 open_position=False	2026-02-10 02:57:22.332 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.019656976896234407015219958 avg_pnl=0.002808139556604915287888565429 avg_bars=5.00 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722426428677624889105292 avg_pnl=-0.04893301254201993014379721447 avg_bars=3.71 | tp: n=17 pnl=0.709116685622869381715242953 avg_pnl=0.041712746213109963630308409 avg_bars=4.94	2026-02-10 02:57:22.333 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.25	0.2	2026-02-10 02:57:28.020 | INFO     | __main__:main:653 - RESULT | trades=59 wins=24 losses=35 winrate=40.68% pnl_total=-0.950736235480420342776762089 max_dd=1.014254933910001243885574615 pf=0.4404170263765823328080957812 avg_win=0.03117801153087940728911727621 avg_loss=0.0485431003491864605061593348 expectancy=-0.01611417348271898886062308625 avg_trade_bars=4.19 open_position=False	2026-02-10 02:57:28.019 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.039155677036099169509324429 avg_pnl=0.005593668148014167072760632714 avg_bars=4.57 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722107221526117715576718 avg_pnl=-0.04893300315357429757986990347 avg_bars=3.71 | tp: n=17 pnl=0.709116599705006605429490200 avg_pnl=0.04171274115911803561349942353 avg_bars=4.94	2026-02-10 02:57:28.020 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.25	0.3	2026-02-10 02:57:34.918 | INFO     | __main__:main:653 - RESULT | trades=59 wins=24 losses=35 winrate=40.68% pnl_total=-0.931158396962370758022099873 max_dd=1.001715597291450000496902616 pf=0.4519401225689908838437099015 avg_win=0.03199375480246480665389486854 avg_loss=0.0485431003491864605061593348 expectancy=-0.01578234571122662301732372666 avg_trade_bars=4.19 open_position=False	2026-02-10 02:57:34.917 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.058733515554148754263986645 avg_pnl=0.008390502222021250609140949286 avg_bars=4.57 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722107221526117715576718 avg_pnl=-0.04893300315357429757986990347 avg_bars=3.71 | tp: n=17 pnl=0.709116599705006605429490200 avg_pnl=0.04171274115911803561349942353 avg_bars=4.94	2026-02-10 02:57:34.918 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.25	0.4	2026-02-10 02:57:40.846 | INFO     | __main__:main:653 - RESULT | trades=59 wins=24 losses=35 winrate=40.68% pnl_total=-0.911580558444321173267437659 max_dd=0.989176260672898757108230619 pf=0.4634632187613994348793240205 avg_win=0.03280949807405020601867246079 avg_loss=0.0485431003491864605061593348 expectancy=-0.01545051793973425717402436710 avg_trade_bars=4.19 open_position=False	2026-02-10 02:57:40.845 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.078311354072198339018648859 avg_pnl=0.01118733629602833414552126557 avg_bars=4.57 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722107221526117715576718 avg_pnl=-0.04893300315357429757986990347 avg_bars=3.71 | tp: n=17 pnl=0.709116599705006605429490200 avg_pnl=0.04171274115911803561349942353 avg_bars=4.94	2026-02-10 02:57:40.846 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.33	0.0	2026-02-10 02:57:47.237 | INFO     | __main__:main:653 - RESULT | trades=59 wins=17 losses=42 winrate=28.81% pnl_total=-0.989892145805808243173862340 max_dd=1.039333840436392461550694433 pf=0.4173708061461817415582618443 avg_win=0.041712746213109963630308409 avg_loss=0.04045259122449232440212155460 expectancy=-0.01677783297975946174870953119 avg_trade_bars=4.24 open_position=False	2026-02-10 02:57:47.237 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=-1E-27 avg_pnl=-1.428571428571428571428571429E-28 avg_bars=5.00 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722426428677624889105292 avg_pnl=-0.04893301254201993014379721447 avg_bars=3.71 | tp: n=17 pnl=0.709116685622869381715242953 avg_pnl=0.041712746213109963630308409 avg_bars=4.94	2026-02-10 02:57:47.238 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.33	0.1	2026-02-10 02:57:52.567 | INFO     | __main__:main:653 - RESULT | trades=59 wins=24 losses=35 winrate=40.68% pnl_total=-0.972287843143902556961128501 max_dd=1.028204959522025249394671593 pf=0.4277323194804605421881912411 avg_win=0.03028004117853229449699903296 avg_loss=0.04854310946939078928254586549 expectancy=-0.01647945496854072130442590680 avg_trade_bars=4.24 open_position=False	2026-02-10 02:57:52.566 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.017604302661905686212733838 avg_pnl=0.002514900380272240887533405429 avg_bars=5.00 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722426428677624889105292 avg_pnl=-0.04893301254201993014379721447 avg_bars=3.71 | tp: n=17 pnl=0.709116685622869381715242953 avg_pnl=0.041712746213109963630308409 avg_bars=4.94	2026-02-10 02:57:52.567 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.33	0.2	2026-02-10 02:57:58.483 | INFO     | __main__:main:653 - RESULT | trades=59 wins=24 losses=35 winrate=40.68% pnl_total=-0.954821799354533098169736708 max_dd=1.017214337480194264659990800 pf=0.4380123510352147334677605896 avg_win=0.03100777970279137581441000042 avg_loss=0.0485431003491864605061593348 expectancy=-0.01618342032804293386728367302 avg_trade_bars=4.19 open_position=False	2026-02-10 02:57:58.482 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.035070113161986414116349810 avg_pnl=0.005010016165998059159478544286 avg_bars=4.57 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722107221526117715576718 avg_pnl=-0.04893300315357429757986990347 avg_bars=3.71 | tp: n=17 pnl=0.709116599705006605429490200 avg_pnl=0.04171274115911803561349942353 avg_bars=4.94	2026-02-10 02:57:58.483 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.33	0.3	2026-02-10 02:58:05.568 | INFO     | __main__:main:653 - RESULT | trades=59 wins=24 losses=35 winrate=40.68% pnl_total=-0.937286742773539891111561803 max_dd=1.006154702646739531658526894 pf=0.4483331095569394848332071131 avg_win=0.03173840706033275944183395479 avg_loss=0.0485431003491864605061593348 expectancy=-0.01588621597921254052731460683 avg_trade_bars=4.19 open_position=False	2026-02-10 02:58:05.567 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.052605169742979621174524715 avg_pnl=0.007515024248997088739217816429 avg_bars=4.57 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722107221526117715576718 avg_pnl=-0.04893300315357429757986990347 avg_bars=3.71 | tp: n=17 pnl=0.709116599705006605429490200 avg_pnl=0.04171274115911803561349942353 avg_bars=4.94	2026-02-10 02:58:05.569 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.33	0.4	2026-02-10 02:58:10.522 | INFO     | __main__:main:653 - RESULT | trades=59 wins=24 losses=35 winrate=40.68% pnl_total=-0.919751686192546684053386901 max_dd=0.995095067813284798657062991 pf=0.4586538680786642361986536349 avg_win=0.03246903441787414306925790904 avg_loss=0.0485431003491864605061593348 expectancy=-0.01558901163038214718734554069 avg_trade_bars=4.19 open_position=False	2026-02-10 02:58:10.521 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.070140226323972828232699617 avg_pnl=0.01002003233199611831895708814 avg_bars=4.57 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722107221526117715576718 avg_pnl=-0.04893300315357429757986990347 avg_bars=3.71 | tp: n=17 pnl=0.709116599705006605429490200 avg_pnl=0.04171274115911803561349942353 avg_bars=4.94	2026-02-10 02:58:10.522 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
