be_trigger_mult	partial_frac	lock_atr_mult	adx_min	atr_min_pct	breakout_min_delta	result_line	diag3_line	reasons_line
1.0	0.25	0.4	20	0.0020	0.0006	2026-02-10 04:34:54.264 | INFO     | __main__:main:653 - RESULT | trades=38 wins=16 losses=22 winrate=42.11% pnl_total=-0.618714941402172926404958418 max_dd=0.763641798646570208983849663 pf=0.4736487315090904792772333921 avg_win=0.03479776300352947030851569406 avg_loss=0.05343087042993838415187316014 expectancy=-0.01628197214216244543170943205 avg_trade_bars=4.47 open_position=False	2026-02-10 04:34:54.263 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=6 pnl=0.078057223223416705999978936 avg_pnl=0.01300953720390278433332982267 avg_bars=6.00 | sl: n=22 pnl=-1.175479149458644451341209523 avg_pnl=-0.05343087042993838415187316014 avg_bars=3.55 | tp: n=10 pnl=0.478706984833054818936272169 avg_pnl=0.0478706984833054818936272169 avg_bars=5.60	2026-02-10 04:34:54.264 | INFO     | __main__:main:670 - REASONS | {'sl': 22, 'tp': 10, 'be': 6}
1.0	0.25	0.4	20	0.0025	0.0006	2026-02-10 04:34:59.707 | INFO     | __main__:main:653 - RESULT | trades=34 wins=14 losses=20 winrate=41.18% pnl_total=-0.593573113346292817867837662 max_dd=0.685873590167381675982754765 pf=0.4606132330207639516441853640 avg_win=0.03620614683064984959826084121 avg_loss=0.05502295844876953561217447195 expectancy=-0.01745803274547920052552463712 avg_trade_bars=4.56 open_position=False	2026-02-10 04:34:59.706 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=6 pnl=0.078057361256451841671829391 avg_pnl=0.01300956020940864027863823183 avg_bars=6.00 | sl: n=20 pnl=-1.100459168975390712243489439 avg_pnl=-0.05502295844876953561217447195 avg_bars=3.80 | tp: n=8 pnl=0.428828694372646052703822386 avg_pnl=0.05360358679658075658797779825 avg_bars=5.38	2026-02-10 04:34:59.707 | INFO     | __main__:main:670 - REASONS | {'sl': 20, 'tp': 8, 'be': 6}
1.0	0.25	0.4	20	0.0015	0.0010	2026-02-10 04:35:06.778 | INFO     | __main__:main:653 - RESULT | trades=47 wins=16 losses=31 winrate=34.04% pnl_total=-0.971716972703874359861582488 max_dd=1.063373430963627252607003826 pf=0.3571854048403090824151105482 avg_win=0.03374642576752719909034909981 avg_loss=0.04876321887046159823571509952 expectancy=-0.02067482920646541191194856357 avg_trade_bars=4.06 open_position=False	2026-02-10 04:35:06.777 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.083452033231265175293167296 avg_pnl=0.01192171903303788218473818514 avg_bars=5.86 | sl: n=31 pnl=-1.511659784984309545307168085 avg_pnl=-0.04876321887046159823571509952 avg_bars=3.35 | tp: n=9 pnl=0.456490779049170010152418301 avg_pnl=0.05072119767213000112804647789 avg_bars=5.11	2026-02-10 04:35:06.778 | INFO     | __main__:main:670 - REASONS | {'sl': 31, 'tp': 9, 'be': 7}
1.0	0.25	0.4	20	0.0020	0.0010	2026-02-10 04:35:12.407 | INFO     | __main__:main:653 - RESULT | trades=38 wins=15 losses=23 winrate=39.47% pnl_total=-0.685959008961302180250380045 max_dd=0.830885866205699462829271290 pf=0.4384175332425762587379471193 avg_win=0.03570107383050236362587782133 avg_loss=0.05310761375734076672341510283 expectancy=-0.01805155286740268895395736961 avg_trade_bars=4.26 open_position=False	2026-02-10 04:35:12.406 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=6 pnl=0.078057223223416705999978938 avg_pnl=0.013009537203902784333329823 avg_bars=6.00 | sl: n=23 pnl=-1.221475116418837634638547365 avg_pnl=-0.05310761375734076672341510283 avg_bars=3.48 | tp: n=9 pnl=0.457458884234118748388188382 avg_pnl=0.05082876491490208315424315356 avg_bars=5.11	2026-02-10 04:35:12.407 | INFO     | __main__:main:670 - REASONS | {'sl': 23, 'tp': 9, 'be': 6}
1.0	0.25	0.4	20	0.0025	0.0010	2026-02-10 04:35:18.763 | INFO     | __main__:main:653 - RESULT | trades=34 wins=14 losses=20 winrate=41.18% pnl_total=-0.596599886727969396442933299 max_dd=0.688900363549058254557850402 pf=0.4593498078882450347835592111 avg_win=0.03620614683064984959826084121 avg_loss=0.0551742971178533645409292538 expectancy=-0.01754705549199909989538039115 avg_trade_bars=4.62 open_position=False	2026-02-10 04:35:18.762 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=6 pnl=0.078057361256451841671829391 avg_pnl=0.01300956020940864027863823183 avg_bars=6.00 | sl: n=20 pnl=-1.103485942357067290818585076 avg_pnl=-0.0551742971178533645409292538 avg_bars=3.90 | tp: n=8 pnl=0.428828694372646052703822386 avg_pnl=0.05360358679658075658797779825 avg_bars=5.38	2026-02-10 04:35:18.763 | INFO     | __main__:main:670 - REASONS | {'sl': 20, 'tp': 8, 'be': 6}
1.0	0.25	0.4	20	0.0015	0.0015	2026-02-10 04:35:26.347 | INFO     | __main__:main:653 - RESULT | trades=43 wins=14 losses=29 winrate=32.56% pnl_total=-0.920779792572391509338425080 max_dd=0.993554710543162172983046517 pf=0.3530691394024886817333200357 avg_win=0.03589464266071779698411371993 avg_loss=0.04907947551111864369365576410 expectancy=-0.02141348354819515137996337395 avg_trade_bars=4.07 open_position=False	2026-02-10 04:35:26.346 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=5 pnl=0.059179946112802368134758717 avg_pnl=0.0118359892225604736269517434 avg_bars=6.60 | sl: n=29 pnl=-1.423304789822440667116017159 avg_pnl=-0.04907947551111864369365576410 avg_bars=3.38 | tp: n=9 pnl=0.443345051137246789642833362 avg_pnl=0.04926056123747186551587037356 avg_bars=4.89	2026-02-10 04:35:26.347 | INFO     | __main__:main:670 - REASONS | {'sl': 29, 'tp': 9, 'be': 5}
1.0	0.25	0.4	20	0.0020	0.0015	2026-02-10 04:35:32.663 | INFO     | __main__:main:653 - RESULT | trades=36 wins=13 losses=23 winrate=36.11% pnl_total=-0.727576580611001097116517527 max_dd=0.853621897566416150594608871 pf=0.4004696575129964667433212646 avg_win=0.03738469206041393600966890715 avg_loss=0.05276424249549488109748753565 expectancy=-0.02021046057252780825323659797 avg_trade_bars=4.25 open_position=False	2026-02-10 04:35:32.662 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=5 pnl=0.059180241020030647681595155 avg_pnl=0.011836048204006129536319031 avg_bars=6.60 | sl: n=23 pnl=-1.213577577396382265242213320 avg_pnl=-0.05276424249549488109748753565 avg_bars=3.48 | tp: n=8 pnl=0.426820755765350520444100638 avg_pnl=0.05335259447066881505551257975 avg_bars=5.00	2026-02-10 04:35:32.663 | INFO     | __main__:main:670 - REASONS | {'sl': 23, 'tp': 8, 'be': 5}
1.0	0.25	0.4	20	0.0025	0.0015	2026-02-10 04:35:39.375 | INFO     | __main__:main:653 - RESULT | trades=32 wins=12 losses=20 winrate=37.50% pnl_total=-0.637875021266507435047362033 max_dd=0.710649939237278098691983470 pf=0.4177683449885271569803336639 avg_win=0.03814117480134536864480464717 avg_loss=0.05477845594413259293925088995 expectancy=-0.01993359441457835734523006353 avg_trade_bars=4.62 open_position=False	2026-02-10 04:35:39.374 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=5 pnl=0.059180379053065783353445608 avg_pnl=0.0118360758106131566706891216 avg_bars=6.60 | sl: n=20 pnl=-1.095569118882651858785017799 avg_pnl=-0.05477845594413259293925088995 avg_bars=3.90 | tp: n=7 pnl=0.398513718563078640384210158 avg_pnl=0.05693053122329694862631573686 avg_bars=5.29	2026-02-10 04:35:39.375 | INFO     | __main__:main:670 - REASONS | {'sl': 20, 'tp': 7, 'be': 5}
1.0	0.25	0.4	25	0.0015	0.0006	2026-02-10 04:35:45.826 | INFO     | __main__:main:653 - RESULT | trades=30 wins=7 losses=23 winrate=23.33% pnl_total=-0.722080707802976017458897421 max_dd=0.722080707802976017458897421 pf=0.3205320261830496451235260954 avg_win=0.04866202071928106344000035271 avg_loss=0.04620499360164971571908260391 expectancy=-0.02406935692676586724862991403 avg_trade_bars=4.03 open_position=False	2026-02-10 04:35:45.825 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=2 pnl=0.033422766726597477570142869 avg_pnl=0.0167113833632987387850714345 avg_bars=4.00 | sl: n=23 pnl=-1.062714852837943461538899890 avg_pnl=-0.04620499360164971571908260391 avg_bars=3.70 | tp: n=5 pnl=0.307211378308369966509859600 avg_pnl=0.061442275661673993301971920 avg_bars=5.60	2026-02-10 04:35:45.826 | INFO     | __main__:main:670 - REASONS | {'sl': 23, 'tp': 5, 'be': 2}
1.0	0.25	0.4	25	0.0020	0.0006	2026-02-10 04:35:52.048 | INFO     | __main__:main:653 - RESULT | trades=25 wins=7 losses=18 winrate=28.00% pnl_total=-0.545335351919065912128356668 max_dd=0.545335351919065912128356668 pf=0.3845982987689043204510952753 avg_win=0.04868714165236527239617517643 avg_loss=0.04923029686031237882786571683 expectancy=-0.02181341407676263648513426672 avg_trade_bars=4.16 open_position=False	2026-02-10 04:35:52.047 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=2 pnl=0.033423061633823215961881811 avg_pnl=0.0167115308169116079809409055 avg_bars=4.00 | sl: n=18 pnl=-0.886145343485622818901582903 avg_pnl=-0.04923029686031237882786571683 avg_bars=3.78 | tp: n=5 pnl=0.307386929932733690811344424 avg_pnl=0.0614773859865467381622688848 avg_bars=5.60	2026-02-10 04:35:52.048 | INFO     | __main__:main:670 - REASONS | {'sl': 18, 'tp': 5, 'be': 2}
