open_time_ms,open,high,low,close,volume,close_time_ms
1767225600000,2971.65000000,2980.59000000,2971.15000000,2976.22000000,2799.89130000,1767226499999
1767226500000,2976.22000000,2980.31000000,2976.22000000,2979.75000000,449.43840000,1767227399999
1767227400000,2979.74000000,2980.60000000,2978.42000000,2979.63000000,587.78430000,1767228299999
1767228300000,2979.64000000,2982.83000000,2979.11000000,2979.81000000,648.13500000,1767229199999
1767229200000,2979.81000000,2986.83000000,2979.80000000,2986.07000000,1235.39580000,1767230099999
1767230100000,2986.07000000,2988.96000000,2982.42000000,2982.43000000,1354.89890000,1767230999999
1767231000000,2982.42000000,2986.45000000,2979.18000000,2986.44000000,1627.45400000,1767231899999
1767231900000,2986.45000000,2988.00000000,2984.20000000,2984.32000000,1349.36360000,1767232799999
1767232800000,2984.33000000,2987.00000000,2983.33000000,2985.46000000,575.55750000,1767233699999
1767233700000,2985.45000000,2987.82000000,2982.93000000,2984.43000000,714.12620000,1767234599999
1767234600000,2984.43000000,2986.57000000,2982.22000000,2982.79000000,596.24480000,1767235499999
1767235500000,2982.79000000,2983.62000000,2980.90000000,2982.49000000,546.81990000,1767236399999
1767236400000,2982.50000000,2984.39000000,2981.62000000,2984.39000000,468.77100000,1767237299999
1767237300000,2984.39000000,2986.18000000,2982.54000000,2983.32000000,580.96990000,1767238199999
1767238200000,2983.31000000,2983.90000000,2982.01000000,2983.00000000,273.50190000,1767239099999
1767239100000,2983.00000000,2983.00000000,2979.53000000,2980.00000000,469.35120000,1767239999999
1767240000000,2979.99000000,2980.97000000,2976.01000000,2976.76000000,643.95410000,1767240899999
1767240900000,2976.76000000,2978.28000000,2974.49000000,2977.86000000,957.12380000,1767241799999
1767241800000,2977.87000000,2979.69000000,2972.99000000,2973.54000000,6974.47590000,1767242699999
1767242700000,2973.54000000,2976.97000000,2973.30000000,2975.35000000,1082.17350000,1767243599999
1767243600000,2975.36000000,2980.85000000,2975.36000000,2979.61000000,597.90390000,1767244499999
1767244500000,2979.62000000,2982.15000000,2979.49000000,2982.15000000,733.12210000,1767245399999
1767245400000,2982.14000000,2983.79000000,2980.02000000,2982.24000000,2003.16430000,1767246299999
1767246300000,2982.24000000,2983.09000000,2981.48000000,2981.49000000,596.64360000,1767247199999
1767247200000,2981.49000000,2981.49000000,2978.05000000,2980.46000000,2352.81620000,1767248099999
1767248100000,2980.46000000,2980.96000000,2978.00000000,2979.30000000,616.59910000,1767248999999
1767249000000,2979.29000000,2979.50000000,2977.70000000,2978.00000000,875.05240000,1767249899999
1767249900000,2978.00000000,2978.45000000,2975.89000000,2975.89000000,1889.85220000,1767250799999
1767250800000,2975.90000000,2980.47000000,2975.89000000,2978.00000000,1830.03290000,1767251699999
1767251700000,2978.00000000,2979.89000000,2977.30000000,2977.52000000,702.30860000,1767252599999
1767252600000,2977.52000000,2980.89000000,2977.52000000,2980.39000000,1415.77740000,1767253499999
1767253500000,2980.39000000,2980.75000000,2978.07000000,2978.53000000,848.37450000,1767254399999
1767254400000,2978.52000000,2981.76000000,2977.80000000,2980.53000000,1642.12820000,1767255299999
1767255300000,2980.52000000,2982.30000000,2980.52000000,2981.44000000,404.46960000,1767256199999
1767256200000,2981.44000000,2983.00000000,2980.00000000,2980.01000000,582.24270000,1767257099999
1767257100000,2980.01000000,2982.75000000,2980.01000000,2982.59000000,1402.61640000,1767257999999
1767258000000,2982.59000000,2985.73000000,2982.15000000,2984.45000000,1542.85640000,1767258899999
1767258900000,2984.46000000,2987.41000000,2984.25000000,2984.26000000,1108.26830000,1767259799999
1767259800000,2984.26000000,2985.50000000,2982.69000000,2985.49000000,916.01280000,1767260699999
1767260700000,2985.49000000,2985.49000000,2983.34000000,2984.00000000,834.32820000,1767261599999
1767261600000,2984.00000000,2985.77000000,2983.99000000,2985.77000000,629.45610000,1767262499999
1767262500000,2985.76000000,2985.77000000,2982.14000000,2983.28000000,915.43550000,1767263399999
1767263400000,2983.28000000,2983.44000000,2982.59000000,2982.92000000,1136.24860000,1767264299999
1767264300000,2982.92000000,2985.00000000,2982.91000000,2985.00000000,338.24420000,1767265199999
1767265200000,2984.99000000,2987.70000000,2984.99000000,2986.27000000,1436.17350000,1767266099999
1767266100000,2986.26000000,2993.20000000,2986.26000000,2987.09000000,2286.68960000,1767266999999
1767267000000,2987.09000000,2988.19000000,2985.16000000,2985.64000000,1080.46130000,1767267899999
1767267900000,2985.64000000,2989.70000000,2985.63000000,2989.69000000,2403.06980000,1767268799999
1767268800000,2989.70000000,2990.45000000,2987.16000000,2988.46000000,1579.30130000,1767269699999
1767269700000,2988.45000000,2988.95000000,2984.00000000,2986.02000000,1094.08310000,1767270599999
1767270600000,2986.02000000,2986.03000000,2983.36000000,2984.50000000,1093.58940000,1767271499999
1767271500000,2984.50000000,2988.28000000,2984.50000000,2987.69000000,1252.23640000,1767272399999
1767272400000,2987.70000000,2990.09000000,2986.01000000,2988.97000000,1471.51310000,1767273299999
1767273300000,2988.97000000,2988.98000000,2983.80000000,2983.80000000,1419.20090000,1767274199999
1767274200000,2983.81000000,2986.00000000,2982.02000000,2984.99000000,868.55400000,1767275099999
1767275100000,2984.99000000,2984.99000000,2982.53000000,2982.96000000,1583.33020000,1767275999999
