open_time_ms,open,high,low,close,volume,close_time_ms
1770217200000,2155.18000000,2186.05000000,2155.18000000,2179.66000000,28.51620000,1770218099999
1770218100000,2179.57000000,2192.75000000,2165.49000000,2179.20000000,24.99660000,1770218999999
1770219000000,2181.76000000,2183.40000000,2141.68000000,2160.90000000,15.37350000,1770219899999
1770219900000,2156.12000000,2161.36000000,2143.35000000,2151.42000000,6.16390000,1770220799999
1770220800000,2151.60000000,2155.61000000,2133.35000000,2142.69000000,31.62090000,1770221699999
1770221700000,2143.55000000,2957.94000000,2113.32000000,2140.88000000,56.75360000,1770222599999
1770222600000,2138.24000000,2957.94000000,2107.51000000,2114.95000000,48.19430000,1770223499999
1770223500000,2114.95000000,2137.97000000,2114.52000000,2136.96000000,64.49910000,1770224399999
1770224400000,2134.82000000,2151.58000000,1920.85000000,2140.77000000,101.20300000,1770225299999
1770225300000,2140.77000000,2957.94000000,2108.10000000,2109.36000000,78.32880000,1770226199999
1770226200000,2108.58000000,2122.56000000,2054.71000000,2119.11000000,36.43490000,1770227099999
1770227100000,2119.12000000,2131.54000000,2111.74000000,2126.50000000,87.50560000,1770227999999
1770228000000,2126.07000000,2126.07000000,2089.09000000,2090.24000000,41.30390000,1770228899999
1770228900000,2090.23000000,2957.94000000,2078.16000000,2129.96000000,24.66720000,1770229799999
1770229800000,2124.02000000,2177.68000000,2119.52000000,2170.52000000,26.25640000,1770230699999
1770230700000,2170.51000000,2957.94000000,2045.35000000,2146.26000000,101.54220000,1770231599999
1770231600000,2147.92000000,2957.94000000,2147.64000000,2152.81000000,195.63670000,1770232499999
1770232500000,2152.81000000,2957.94000000,2135.10000000,2137.70000000,68.04640000,1770233399999
1770233400000,2135.97000000,2155.23000000,2134.35000000,2155.23000000,63.60360000,1770234299999
1770234300000,2153.30000000,2957.94000000,2153.30000000,2186.33000000,56.98820000,1770235199999
1770235200000,2188.27000000,2190.55000000,2164.20000000,2167.75000000,65.09650000,1770236099999
1770236100000,2167.64000000,2177.75000000,2167.31000000,2172.39000000,13.01480000,1770236999999
1770237000000,2170.55000000,2175.06000000,2163.72000000,2172.06000000,18.24390000,1770237899999
1770237900000,2173.25000000,2175.05000000,2168.40000000,2171.59000000,4.66630000,1770238799999
1770238800000,2171.63000000,2179.41000000,2159.72000000,2164.61000000,30.43560000,1770239699999
1770239700000,2164.61000000,2164.61000000,2140.71000000,2143.57000000,6.23830000,1770240599999
1770240600000,2143.56000000,2148.28000000,2043.00000000,2120.30000000,19.35160000,1770241499999
1770241500000,2121.67000000,2130.32000000,1920.85000000,2130.32000000,43.76230000,1770242399999
1770242400000,2130.33000000,2957.94000000,2093.59000000,2112.29000000,51.96550000,1770243299999
1770243300000,2114.58000000,2164.77000000,2114.21000000,2162.90000000,30.34360000,1770244199999
1770244200000,2161.22000000,2957.94000000,2098.00000000,2136.69000000,32.73640000,1770245099999
1770245100000,2130.54000000,2957.94000000,2118.70000000,2121.89000000,49.88860000,1770245999999
1770246000000,2121.12000000,2129.59000000,2118.62000000,2129.55000000,17.63790000,1770246899999
1770246900000,2132.03000000,2154.01000000,2132.03000000,2153.83000000,25.26730000,1770247799999
1770247800000,2155.46000000,2163.51000000,2152.13000000,2156.49000000,65.82810000,1770248699999
1770248700000,2156.04000000,2160.01000000,2147.12000000,2147.66000000,158.68970000,1770249599999
1770249600000,2147.66000000,2147.71000000,2136.96000000,2136.96000000,109.89490000,1770250499999
1770250500000,2136.95000000,2176.38000000,2136.86000000,2162.21000000,266.43150000,1770251399999
1770251400000,2162.00000000,2162.00000000,2145.87000000,2156.13000000,212.72980000,1770252299999
1770252300000,2156.70000000,2156.71000000,2147.89000000,2149.47000000,128.56610000,1770253199999
1770253200000,2150.54000000,2169.16000000,2149.40000000,2166.81000000,136.14210000,1770254099999
1770254100000,2162.15000000,2163.94000000,2124.64000000,2161.73000000,122.29500000,1770254999999
1770255000000,2163.47000000,2172.30000000,2142.62000000,2155.97000000,125.62970000,1770255899999
1770255900000,2154.61000000,2159.85000000,2146.80000000,2150.70000000,134.62640000,1770256799999
1770256800000,2148.26000000,2153.39000000,2125.94000000,2125.94000000,102.76240000,1770257699999
1770257700000,2125.93000000,2137.83000000,2115.27000000,2136.85000000,110.93210000,1770258599999
1770258600000,2136.85000000,2162.44000000,2113.46000000,2158.69000000,128.97960000,1770259499999
1770259500000,2158.69000000,2158.86000000,2121.60000000,2121.60000000,109.62800000,1770260399999
1770260400000,2123.89000000,2136.27000000,2115.64000000,2118.53000000,108.12590000,1770261299999
1770261300000,2118.00000000,2125.76000000,2099.56000000,2111.69000000,158.70740000,1770262199999
1770262200000,2113.07000000,2116.64000000,2086.34000000,2113.55000000,138.39890000,1770263099999
