open_time_ms,open,high,low,close,volume,close_time_ms
1770217200000,2155.18000000,2155.18000000,2155.18000000,2155.18000000,0.00240000,1770217499999
1770217500000,2168.49000000,2182.79000000,2161.89000000,2182.79000000,7.49090000,1770217799999
1770217800000,2186.05000000,2186.05000000,2174.91000000,2179.66000000,21.02290000,1770218099999
1770218100000,2179.57000000,2179.57000000,2165.49000000,2168.08000000,3.18360000,1770218399999
1770218400000,2166.05000000,2187.57000000,2166.05000000,2185.21000000,18.91770000,1770218699999
1770218700000,2189.55000000,2192.75000000,2177.01000000,2179.20000000,2.89530000,1770218999999
1770219000000,2181.76000000,2183.40000000,2160.98000000,2160.98000000,8.30540000,1770219299999
1770219300000,2155.48000000,2164.27000000,2141.68000000,2155.45000000,5.73940000,1770219599999
1770219600000,2155.38000000,2171.72000000,2153.04000000,2160.90000000,1.32870000,1770219899999
1770219900000,2156.12000000,2161.36000000,2144.94000000,2149.31000000,2.20360000,1770220199999
1770220200000,2148.71000000,2155.69000000,2143.35000000,2152.79000000,3.19110000,1770220499999
1770220500000,2152.78000000,2157.00000000,2150.06000000,2151.42000000,0.76920000,1770220799999
1770220800000,2151.60000000,2154.72000000,2149.73000000,2151.86000000,9.18640000,1770221099999
1770221100000,2154.60000000,2155.61000000,2143.25000000,2143.25000000,3.94650000,1770221399999
1770221400000,2143.03000000,2154.87000000,2133.35000000,2142.69000000,18.48800000,1770221699999
1770221700000,2143.55000000,2143.73000000,2115.58000000,2122.47000000,12.90750000,1770221999999
1770222000000,2123.89000000,2957.94000000,2113.32000000,2123.95000000,11.69430000,1770222299999
1770222300000,2123.94000000,2957.94000000,2118.09000000,2140.88000000,32.15180000,1770222599999
1770222600000,2138.24000000,2957.94000000,2119.73000000,2119.73000000,28.48100000,1770222899999
1770222900000,2119.72000000,2121.53000000,2107.51000000,2111.09000000,10.70750000,1770223199999
1770223200000,2107.99000000,2118.65000000,2107.99000000,2114.95000000,9.00580000,1770223499999
1770223500000,2114.95000000,2120.38000000,2114.52000000,2119.63000000,0.93720000,1770223799999
1770223800000,2119.64000000,2133.89000000,2119.63000000,2127.09000000,14.57840000,1770224099999
1770224100000,2127.09000000,2137.97000000,2127.08000000,2136.96000000,48.98350000,1770224399999
1770224400000,2134.82000000,2146.41000000,2133.76000000,2140.19000000,50.35260000,1770224699999
1770224700000,2143.18000000,2143.30000000,1920.85000000,2126.93000000,34.20060000,1770224999999
1770225000000,2123.48000000,2151.58000000,2096.96000000,2140.77000000,16.64980000,1770225299999
1770225300000,2140.77000000,2957.94000000,2136.36000000,2136.36000000,39.30650000,1770225599999
1770225600000,2130.49000000,2131.48000000,2120.23000000,2126.35000000,9.47900000,1770225899999
1770225900000,2120.90000000,2124.83000000,2108.10000000,2109.36000000,29.54330000,1770226199999
1770226200000,2108.58000000,2122.56000000,2054.71000000,2119.41000000,21.28010000,1770226499999
1770226500000,2119.89000000,2119.89000000,2099.53000000,2103.42000000,3.15610000,1770226799999
