open_time_ms,open,high,low,close,volume,close_time_ms
1770217380000,2155.18000000,2155.18000000,2155.18000000,2155.18000000,0.00240000,1770217439999
1770217440000,2155.18000000,2155.18000000,2155.18000000,2155.18000000,0.00000000,1770217499999
1770217500000,2155.18000000,2155.18000000,2155.18000000,2155.18000000,0.00000000,1770217559999
1770217560000,2168.49000000,2168.50000000,2161.89000000,2164.42000000,0.41060000,1770217619999
1770217620000,2164.42000000,2173.35000000,2164.41000000,2173.35000000,6.83650000,1770217679999
1770217680000,2179.56000000,2181.50000000,2179.56000000,2181.50000000,0.11280000,1770217739999
1770217740000,2175.81000000,2182.79000000,2175.81000000,2182.79000000,0.13100000,1770217799999
1770217800000,2186.05000000,2186.05000000,2174.91000000,2174.91000000,8.94190000,1770217859999
1770217860000,2175.33000000,2180.74000000,2175.33000000,2180.74000000,0.02720000,1770217919999
1770217920000,2180.75000000,2184.36000000,2177.04000000,2177.04000000,6.32610000,1770217979999
1770217980000,2177.04000000,2177.04000000,2177.04000000,2177.04000000,0.01600000,1770218039999
1770218040000,2181.11000000,2181.23000000,2179.66000000,2179.66000000,5.71170000,1770218099999
1770218100000,2179.57000000,2179.57000000,2178.12000000,2178.13000000,0.97490000,1770218159999
1770218160000,2176.89000000,2176.89000000,2173.16000000,2173.16000000,1.93690000,1770218219999
1770218220000,2173.05000000,2173.21000000,2173.05000000,2173.21000000,0.12920000,1770218279999
1770218280000,2169.38000000,2169.39000000,2165.49000000,2165.49000000,0.11540000,1770218339999
1770218340000,2168.07000000,2168.08000000,2168.07000000,2168.08000000,0.02720000,1770218399999
1770218400000,2166.05000000,2173.76000000,2166.05000000,2173.76000000,2.70940000,1770218459999
1770218460000,2170.87000000,2184.67000000,2170.86000000,2177.52000000,8.53990000,1770218519999
1770218520000,2171.81000000,2172.84000000,2171.06000000,2172.84000000,1.09120000,1770218579999
1770218580000,2173.04000000,2178.32000000,2173.03000000,2178.32000000,5.43770000,1770218639999
1770218640000,2184.67000000,2187.57000000,2184.67000000,2185.21000000,1.13950000,1770218699999
1770218700000,2189.55000000,2189.55000000,2189.48000000,2189.48000000,0.97230000,1770218759999
1770218760000,2192.75000000,2192.75000000,2183.75000000,2183.75000000,0.91040000,1770218819999
1770218820000,2183.73000000,2183.73000000,2183.73000000,2183.73000000,0.00420000,1770218879999
1770218880000,2177.66000000,2177.66000000,2177.66000000,2177.66000000,0.00420000,1770218939999
1770218940000,2177.01000000,2179.20000000,2177.01000000,2179.20000000,1.00420000,1770218999999
1770219000000,2181.76000000,2183.40000000,2178.20000000,2178.20000000,3.24800000,1770219059999
