open_time_ms,open,high,low,close,volume,close_time_ms
1769416200000,2915.92000000,2917.64000000,2909.47000000,2910.95000000,2891.91270000,1769417099999
1769417100000,2910.95000000,2913.46000000,2906.66000000,2912.29000000,2287.70640000,1769417999999
1769418000000,2912.29000000,2913.56000000,2892.87000000,2893.95000000,5431.24480000,1769418899999
1769418900000,2893.96000000,2894.62000000,2888.00000000,2890.09000000,4169.69870000,1769419799999
1769419800000,2890.08000000,2893.54000000,2887.14000000,2891.98000000,1821.06440000,1769420699999
1769420700000,2891.97000000,2892.94000000,2880.50000000,2885.87000000,2386.94270000,1769421599999
1769421600000,2885.87000000,2895.88000000,2884.84000000,2894.02000000,2370.06230000,1769422499999
1769422500000,2894.02000000,2899.65000000,2892.83000000,2898.19000000,1191.59280000,1769423399999
1769423400000,2898.18000000,2899.77000000,2895.55000000,2899.75000000,4863.28120000,1769424299999
1769424300000,2899.76000000,2901.74000000,2895.84000000,2896.28000000,1339.44580000,1769425199999
1769425200000,2896.27000000,2900.66000000,2896.27000000,2900.65000000,3229.24920000,1769426099999
1769426100000,2900.66000000,2900.66000000,2890.11000000,2890.23000000,2420.53570000,1769426999999
1769427000000,2890.23000000,2895.00000000,2888.08000000,2892.62000000,1626.48770000,1769427899999
1769427900000,2892.61000000,2894.99000000,2890.30000000,2892.15000000,1765.34590000,1769428799999
1769428800000,2892.15000000,2908.78000000,2892.15000000,2907.13000000,3064.53990000,1769429699999
1769429700000,2907.13000000,2915.10000000,2903.01000000,2904.60000000,3302.97230000,1769430599999
1769430600000,2904.59000000,2904.96000000,2899.66000000,2899.66000000,1105.74370000,1769431499999
1769431500000,2899.67000000,2902.70000000,2899.65000000,2902.69000000,871.49420000,1769432399999
1769432400000,2902.69000000,2907.46000000,2897.04000000,2906.70000000,1908.35110000,1769433299999
1769433300000,2906.71000000,2909.35000000,2903.28000000,2905.90000000,1534.03620000,1769434199999
1769434200000,2905.89000000,2911.30000000,2904.13000000,2906.91000000,2029.00790000,1769435099999
1769435100000,2906.91000000,2910.31000000,2905.25000000,2909.67000000,1700.07630000,1769435999999
1769436000000,2909.66000000,2915.52000000,2881.77000000,2885.84000000,13338.07180000,1769436899999
1769436900000,2885.84000000,2893.09000000,2882.96000000,2886.99000000,6552.34090000,1769437799999
1769437800000,2886.99000000,2934.70000000,2875.77000000,2917.94000000,33041.62020000,1769438699999
1769438700000,2917.95000000,2928.92000000,2908.82000000,2922.74000000,6613.10700000,1769439599999
1769439600000,2922.75000000,2950.00000000,2913.84000000,2944.91000000,13557.29910000,1769440499999
1769440500000,2944.91000000,2951.21000000,2917.79000000,2922.42000000,9420.09300000,1769441399999
1769441400000,2922.42000000,2922.99000000,2888.16000000,2892.93000000,10506.57420000,1769442299999
1769442300000,2892.93000000,2908.76000000,2887.69000000,2899.32000000,6656.22820000,1769443199999
1769443200000,2899.32000000,2908.72000000,2891.64000000,2901.24000000,4593.08080000,1769444099999
1769444100000,2901.23000000,2916.66000000,2893.13000000,2906.66000000,5279.51130000,1769444999999
1769445000000,2906.67000000,2913.43000000,2898.26000000,2901.80000000,2950.47240000,1769445899999
1769445900000,2901.79000000,2918.00000000,2899.38000000,2901.50000000,7671.35790000,1769446799999
1769446800000,2901.51000000,2909.83000000,2897.88000000,2899.12000000,4984.35370000,1769447699999
1769447700000,2899.13000000,2906.21000000,2890.25000000,2896.75000000,4088.40100000,1769448599999
1769448600000,2896.75000000,2908.98000000,2885.97000000,2906.15000000,4123.20050000,1769449499999
1769449500000,2906.14000000,2915.89000000,2904.43000000,2909.42000000,2472.81290000,1769450399999
1769450400000,2909.43000000,2921.43000000,2908.01000000,2918.03000000,4136.20840000,1769451299999
1769451300000,2918.02000000,2927.83000000,2912.60000000,2922.06000000,4278.70410000,1769452199999
1769452200000,2922.06000000,2930.72000000,2912.54000000,2914.43000000,5402.91870000,1769453099999
1769453100000,2914.43000000,2932.68000000,2911.94000000,2932.01000000,3769.27780000,1769453999999
1769454000000,2932.00000000,2936.06000000,2926.18000000,2928.71000000,3779.55620000,1769454899999
1769454900000,2928.71000000,2932.13000000,2924.99000000,2926.56000000,2857.88280000,1769455799999
1769455800000,2926.57000000,2934.44000000,2924.03000000,2932.47000000,3531.49150000,1769456699999
1769456700000,2932.47000000,2934.84000000,2918.42000000,2923.12000000,2397.45000000,1769457599999
1769457600000,2923.11000000,2929.47000000,2920.59000000,2922.00000000,9771.11170000,1769458499999
1769458500000,2922.00000000,2922.61000000,2915.00000000,2917.15000000,4625.13240000,1769459399999
1769459400000,2917.14000000,2918.88000000,2911.77000000,2913.42000000,2824.37150000,1769460299999
1769460300000,2913.42000000,2915.03000000,2898.88000000,2901.82000000,4655.72510000,1769461199999
1769461200000,2901.82000000,2908.52000000,2895.82000000,2907.82000000,2336.49570000,1769462099999
1769462100000,2907.83000000,2911.76000000,2904.00000000,2911.76000000,1346.64250000,1769462999999
1769463000000,2911.76000000,2944.18000000,2910.30000000,2935.98000000,11490.57110000,1769463899999
1769463900000,2935.98000000,2938.36000000,2926.83000000,2928.97000000,9086.75870000,1769464799999
1769464800000,2928.98000000,2936.88000000,2921.70000000,2922.48000000,5457.22190000,1769465699999
1769465700000,2922.47000000,2926.87000000,2919.79000000,2923.01000000,1728.65840000,1769466599999
1769466600000,2923.01000000,2932.40000000,2921.17000000,2925.75000000,1771.10230000,1769467499999
1769467500000,2925.75000000,2929.59000000,2922.39000000,2927.22000000,1113.19700000,1769468399999
1769468400000,2927.21000000,2927.21000000,2918.30000000,2923.88000000,2404.52070000,1769469299999
1769469300000,2923.88000000,2934.91000000,2921.79000000,2933.71000000,4268.63700000,1769470199999
1769470200000,2933.71000000,2945.32000000,2933.71000000,2938.12000000,4858.67490000,1769471099999
1769471100000,2938.12000000,2938.75000000,2929.56000000,2930.35000000,3305.09510000,1769471999999
1769472000000,2930.35000000,2931.27000000,2922.28000000,2922.75000000,3598.11070000,1769472899999
