pnl_total	be_trigger_mult	partial_frac	lock_atr_mult	adx_min	atr_min_pct	breakout_min_delta	trades	winrate	max_dd	pf
-0.861759335780317208947845239	1.0	0.25	0.4	15	0.0015	0.0006	58	41.38%	0.939355038008894792788638199	0.4775635618278940082885519963
-0.869969677670784821520465237	1.0	0.33	0.4	15	0.0015	0.0006	58	41.38%	0.945313059291522936124141327	0.4725860912101290974853770482
-0.881475303276105284138890598	1.0	0.25	0.3	15	0.0015	0.0006	58	41.38%	0.952032503605184526613693341	0.4656302611953995731090687038
-0.887633059693955993568355620	1.0	0.33	0.3	15	0.0015	0.0006	58	41.38%	0.956501019567155634115320711	0.4618972936619932021061388731
-0.901133057823058963267894840	1.0	0.25	0.2	15	0.0015	0.0006	58	41.38%	0.964651756252639864376707366	0.4537132617967544258106248379
-0.905238032943587674849679900	1.0	0.33	0.2	15	0.0015	0.0006	58	41.38%	0.967630571069248841339933992	0.4512247353249629235565645786
-0.911580558444321173267437659	0.9	0.25	0.4	15	0.0015	0.0006	59	40.68%	0.989176260672898757108230619	0.4634632187613994348793240205
-0.919751686192546684053386901	0.9	0.33	0.4	15	0.0015	0.0006	59	40.68%	0.995095067813284798657062991	0.4586538680786642361986536349
-0.920788541326778450190366078	1.0	0.25	0.1	15	0.0015	0.0006	58	41.38%	0.977268737856861009933188386	0.4417976741065256917452776174
-0.922841028887042805981258607	1.0	0.33	0.1	15	0.0015	0.0006	58	41.38%	0.978758145265165498414801699	0.4405534108706299406182474884
-0.931158396962370758022099873	0.9	0.25	0.3	15	0.0015	0.0006	59	40.68%	1.001715597291450000496902616	0.4519401225689908838437099015
-0.937286742773539891111561803	0.9	0.33	0.3	15	0.0015	0.0006	59	40.68%	1.006154702646739531658526894	0.4483331095569394848332071131
-0.940444024830497937112837314	1.0	0.25	0.0	15	0.0015	0.0006	58	31.03%	0.989885719461082155489669409	0.4298820864162969576799303985
